date,cost,impressions,ctr,clicks,freq
2026-06-29,39190,16863,0.0413,669,1.0417
2026-06-30,43777,20227,0.0378,728,1.0269
2026-07-01,60897,36903,0.0364,1281,1.0535
2026-07-02,43440,27411,0.0321,834,1.0279
2026-07-03,48278,27662,0.0371,980,1.0703
2026-07-04,48962,23556,0.0431,964,1.0091
2026-07-05,57757,28098,0.0482,1303,1.048
2026-07-06,55086,27660,0.0448,1188,1.0246
2026-07-07,53515,29220,0.0392,1081,1.0008
2026-07-08,55775,29163,0.042,1158,1.0121
2026-07-09,51720,26338,0.0359,915,1.035
2026-07-10,60433,29476,0.0368,1037,1.0523
2026-07-11,59526,28578,0.0388,1051,1.0305
2026-07-12,64540,29917,0.0373,1055,1.0372
2026-07-13,54429,20856,0.0386,777,1.0333
2026-07-14,57566,17652,0.0434,655,1.0382
2026-07-15,55923,14626,0.043,531,1.0277
2026-07-16,59774,21547,0.0335,655,1.0602
2026-07-17,62961,26267,0.0305,732,1.0586
2026-07-18,71800,36385,0.0282,948,1.0414
2026-07-19,66147,31228,0.025,724,1.0821
2026-07-20,73902,37072,0.0255,865,1.0412
2026-07-21,70080,37308,0.0237,818,1.0449
2026-07-22,73017,33097,0.0277,837,1.0581
2026-07-23,71213,26958,0.0315,788,1.0531
2026-07-24,71782,27348,0.0293,734,1.0595
2026-07-25,77175,30593,0.0257,734,1.0164
2026-07-26,81491,34110,0.0259,825,1.0305
2026-07-27,88755,40905,0.0262,977,1.0958
2026-07-28,85186,36508,0.0315,1115,1.0856
2026-07-29,78726,35304,0.0261,888,1.053
2026-07-30,65494,27382,0.0285,699,1.0875
2026-07-31,67097,26938,0.0248,602,1.1103
2026-08-01,62279,28032,0.0249,643,1.0683
2026-08-02,56486,26630,0.0237,572,1.1056
2026-08-03,52756,24597,0.0227,505,1.0794
2026-08-04,58520,26270,0.0247,621,1.0384
2026-08-05,28626,13459,0.0204,268,1.0321
