date,gross,orders
2026-06-29,250740,32
2026-06-30,222880,35
2026-07-01,374120,52
2026-07-02,242780,34
2026-07-03,334320,40
2026-07-04,322380,48
2026-07-05,382080,53
2026-07-06,234820,36
2026-07-07,242780,36
2026-07-08,282580,38
2026-07-09,214920,26
2026-07-10,262680,37
2026-07-11,298500,43
2026-07-12,258700,36
2026-07-13,171140,25
2026-07-14,214920,27
2026-07-15,179100,27
2026-07-16,210940,27
2026-07-17,147260,20
2026-07-18,202980,29
2026-07-19,163180,22
2026-07-20,262680,34
2026-07-21,199000,29
2026-07-22,187060,26
2026-07-23,167160,27
2026-07-24,222880,31
2026-07-25,199000,30
2026-07-26,270640,36
2026-07-27,175120,24
2026-07-28,195020,30
2026-07-29,139300,20
2026-07-30,159200,23
2026-07-31,155220,23
2026-08-01,91540,15
2026-08-02,183080,26
2026-08-03,127360,20
2026-08-04,159200,25
2026-08-05,19900,3
