date,hour_jst,cost,clicks
2026-08-17,00,7105,85
2026-08-17,01,3354,36
2026-08-17,02,2461,25
2026-08-17,03,1751,21
2026-08-17,04,2030,32
2026-08-17,05,4833,48
2026-08-17,06,8479,107
2026-08-17,07,12420,164
2026-08-17,08,15086,180
2026-08-17,09,16507,186
2026-08-17,10,16200,169
2026-08-17,11,15757,199
2026-08-17,12,20209,224
2026-08-17,13,15356,206
2026-08-17,14,12684,166
2026-08-17,15,12746,157
2026-08-17,16,11691,137
2026-08-17,17,14027,135
2026-08-17,18,11593,131
2026-08-17,19,12950,137
2026-08-17,20,15532,185
2026-08-17,21,14465,171
2026-08-17,22,16134,182
2026-08-17,23,12954,141
2026-08-18,00,4708,64
2026-08-18,01,5771,46
2026-08-18,02,3939,51
2026-08-18,03,2526,28
2026-08-18,04,2362,31
2026-08-18,05,5982,65
2026-08-18,06,13980,155
2026-08-18,07,16246,224
2026-08-18,08,12843,175
2026-08-18,09,14286,185
2026-08-18,10,14452,171
2026-08-18,11,16875,173
2026-08-18,12,19981,189
2026-08-18,13,15171,135
2026-08-18,14,12710,116
2026-08-18,15,12748,121
2026-08-18,16,12246,100
2026-08-18,17,13062,132
2026-08-18,18,13315,127
2026-08-18,19,17665,156
2026-08-18,20,20657,226
2026-08-18,21,21343,204
2026-08-18,22,16676,165
2026-08-18,23,13903,136
2026-08-19,00,8928,74
2026-08-19,01,4392,41
2026-08-19,02,3355,31
2026-08-19,03,2980,31
2026-08-19,04,2763,25
2026-08-19,05,5301,51
2026-08-19,06,10876,125
2026-08-19,07,15684,169
2026-08-19,08,19087,183
2026-08-19,09,15309,152
2026-08-19,10,13271,117
2026-08-19,11,14844,143
2026-08-19,12,17798,185
2026-08-19,13,12630,122
2026-08-19,14,11859,108
2026-08-19,15,11383,101
2026-08-19,16,10575,110
2026-08-19,17,11488,126
2026-08-19,18,13721,127
2026-08-19,19,13412,129
2026-08-19,20,17384,182
2026-08-19,21,18293,178
2026-08-19,22,17727,189
2026-08-19,23,11320,112
2026-08-20,00,4656,49
2026-08-20,01,5204,48
2026-08-20,02,4388,33
2026-08-20,03,2893,30
2026-08-20,04,3515,31
2026-08-20,05,5648,69
2026-08-20,06,10973,137
2026-08-20,07,13977,132
2026-08-20,08,16380,134
2026-08-20,09,19480,205
2026-08-20,10,16941,162
2026-08-20,11,14431,140
2026-08-20,12,19159,192
2026-08-20,13,13800,153
2026-08-20,14,12152,101
2026-08-20,15,12236,116
2026-08-20,16,12042,138
2026-08-20,17,11148,110
2026-08-20,18,13803,122
2026-08-20,19,17664,196
2026-08-20,20,21913,218
2026-08-20,21,19104,219
2026-08-20,22,17365,193
2026-08-20,23,15942,145
2026-08-21,00,9251,85
2026-08-21,01,4664,42
2026-08-21,02,3071,31
2026-08-21,03,1908,22
2026-08-21,04,3024,31
2026-08-21,05,6817,54
2026-08-21,06,12846,137
2026-08-21,07,16786,147
2026-08-21,08,18805,196
2026-08-21,09,19415,176
2026-08-21,10,14357,135
2026-08-21,11,15634,155
2026-08-21,12,18434,187
2026-08-21,13,12841,132
2026-08-21,14,10377,93
2026-08-21,15,10322,100
2026-08-21,16,11301,110
2026-08-21,17,12456,124
2026-08-21,18,11512,114
2026-08-21,19,10845,116
2026-08-21,20,14798,166
2026-08-21,21,17158,173
2026-08-21,22,15868,165
2026-08-21,23,12126,127
2026-08-22,00,7883,70
2026-08-22,01,4155,44
2026-08-22,02,2748,27
2026-08-22,03,2421,21
2026-08-22,04,2406,26
2026-08-22,05,3679,25
2026-08-22,06,12524,129
2026-08-22,07,19206,248
2026-08-22,08,22829,244
2026-08-22,09,20400,250
2026-08-22,10,17109,196
2026-08-22,11,16822,204
2026-08-22,12,14504,172
2026-08-22,13,11132,116
2026-08-22,14,10529,126
2026-08-22,15,11938,153
2026-08-22,16,10242,119
2026-08-22,17,11202,108
2026-08-22,18,9635,120
2026-08-22,19,10450,118
2026-08-22,20,10397,90
2026-08-22,21,8250,89
2026-08-22,22,6658,96
2026-08-22,23,9217,110
2026-08-23,00,5979,60
2026-08-23,01,4025,63
2026-08-23,02,4604,49
2026-08-23,03,2527,20
2026-08-23,04,2145,25
2026-08-23,05,3570,27
2026-08-23,06,7398,77
2026-08-23,07,11780,125
2026-08-23,08,19090,196
2026-08-23,09,23468,260
2026-08-23,10,17676,181
2026-08-23,11,19243,197
2026-08-23,12,13635,162
2026-08-23,13,12736,139
2026-08-23,14,14021,167
