hour,gross,disc
2026-08-16T15,18920,-2241
2026-08-16T16,3980,0
2026-08-16T18,17920,-1792
2026-08-16T19,11960,0
2026-08-16T20,3980,0
2026-08-16T21,26880,-3037
2026-08-16T22,21900,0
2026-08-16T23,36840,0
2026-08-17T00,32840,-1592
2026-08-17T01,30860,0
2026-08-17T02,21900,0
2026-08-17T03,32840,-796
2026-08-17T04,33840,-1592
2026-08-17T05,35840,-996
2026-08-17T06,3980,0
2026-08-17T07,28860,0
2026-08-17T08,18920,-796
2026-08-17T09,30860,-796
2026-08-17T10,21900,-996
2026-08-17T11,29860,-796
2026-08-17T12,7960,0
2026-08-17T13,27416,0
2026-08-17T14,7960,0
2026-08-17T15,11940,0
2026-08-17T16,3980,0
2026-08-17T18,3980,0
2026-08-17T19,3980,0
2026-08-17T20,11940,-796
2026-08-17T21,16920,0
2026-08-17T22,47820,-6178
2026-08-17T23,16940,0
2026-08-18T00,21900,-796
2026-08-18T01,26900,0
2026-08-18T02,15920,0
2026-08-18T03,24880,-1592
2026-08-18T04,33840,0
2026-08-18T05,34840,-796
2026-08-18T06,20900,-796
2026-08-18T07,26880,0
2026-08-18T08,17920,-796
2026-08-18T09,11940,0
2026-08-18T10,11940,0
2026-08-18T11,12940,-796
2026-08-18T12,42840,-1992
2026-08-18T13,15920,0
2026-08-18T14,49780,-2588
2026-08-18T15,22900,-996
2026-08-18T17,4980,0
2026-08-18T18,14940,0
2026-08-18T20,4980,0
2026-08-18T21,16920,0
2026-08-18T22,53296,0
2026-08-18T23,68700,-1592
2026-08-19T00,44800,-1196
2026-08-19T01,32860,0
2026-08-19T02,16920,0
2026-08-19T03,49780,-1992
2026-08-19T04,19920,-996
2026-08-19T05,10960,0
2026-08-19T06,17920,0
2026-08-19T07,3980,0
2026-08-19T08,11940,0
2026-08-19T09,27860,-796
2026-08-19T10,11940,0
2026-08-19T11,32840,-1791
2026-08-19T12,21900,-996
2026-08-19T13,29880,0
2026-08-19T14,29880,0
2026-08-19T15,11940,0
2026-08-19T16,7960,0
2026-08-19T19,9960,-996
2026-08-19T20,7960,0
2026-08-19T21,33376,-2587
2026-08-19T22,14940,-996
2026-08-19T23,35820,-2587
2026-08-20T00,62296,-1196
2026-08-20T01,29860,0
2026-08-20T02,26880,0
2026-08-20T03,33840,-796
2026-08-20T04,31860,0
2026-08-20T05,14940,0
2026-08-20T06,13476,0
2026-08-20T07,21436,-796
2026-08-20T08,27416,-796
2026-08-20T09,22436,-996
2026-08-20T10,23880,-796
2026-08-20T11,56720,0
2026-08-20T12,24880,-796
2026-08-20T13,22900,-996
2026-08-20T14,47800,-996
2026-08-20T15,8960,0
2026-08-20T16,11940,-796
2026-08-20T17,8960,0
2026-08-20T19,4980,0
2026-08-20T20,14940,0
2026-08-20T21,33840,-796
2026-08-20T22,26880,0
2026-08-20T23,31860,-796
2026-08-21T00,19900,-796
2026-08-21T01,47800,0
2026-08-21T02,21900,0
2026-08-21T03,60276,0
2026-08-21T04,29880,-996
2026-08-21T05,27670,0
2026-08-21T06,11940,0
2026-08-21T07,16920,0
2026-08-21T08,14940,0
2026-08-21T09,26880,0
2026-08-21T10,19900,-796
2026-08-21T11,29860,-1792
2026-08-21T12,17920,0
2026-08-21T13,15940,0
2026-08-21T14,37840,-796
2026-08-21T15,7960,0
2026-08-21T16,12940,0
2026-08-21T21,17920,-996
2026-08-21T22,36840,-996
2026-08-21T23,61720,-996
2026-08-22T00,31840,0
2026-08-22T01,23880,0
2026-08-22T02,12940,0
2026-08-22T03,7960,0
2026-08-22T04,29860,0
2026-08-22T05,50780,0
2026-08-22T06,15920,0
2026-08-22T07,24880,0
2026-08-22T08,19920,-796
2026-08-22T09,9960,0
2026-08-22T10,18920,-796
2026-08-22T11,27880,-1992
2026-08-22T12,16920,0
2026-08-22T13,17920,0
2026-08-22T14,28860,0
2026-08-22T15,7960,0
2026-08-22T16,14940,0
2026-08-22T17,16920,-796
2026-08-22T18,16920,-1791
2026-08-22T22,16920,0
2026-08-22T23,13940,0
2026-08-23T00,79430,-3383
2026-08-23T01,36820,-796
2026-08-23T02,25880,0
2026-08-23T03,42800,0
2026-08-23T04,21900,-1792
2026-08-23T05,15920,0
2026-08-23T06,25880,0
2026-08-23T07,15920,-796
2026-08-23T08,32840,-1592
2026-08-23T09,27880,0
2026-08-23T10,15920,0
2026-08-23T11,24880,0
2026-08-23T12,11940,0
2026-08-23T13,37840,-796
2026-08-23T14,16920,-796
2026-08-23T15,3980,0
2026-08-23T16,11940,-796
2026-08-23T17,3980,0
2026-08-23T18,11940,-1791
2026-08-23T19,3980,0
2026-08-23T20,13730,0
2026-08-23T21,16920,0
2026-08-23T22,30860,-1791
2026-08-23T23,25880,-796
2026-08-24T00,29670,-996
2026-08-24T01,30860,-996
2026-08-24T02,39800,-2388
2026-08-24T03,55740,-3833
2026-08-24T04,36820,-796
2026-08-24T05,20900,-796
2026-08-24T06,40840,-3487
2026-08-24T07,11960,-1196
2026-08-24T08,15920,-1791
2026-08-24T09,20900,-796
2026-08-24T10,15920,-796
2026-08-24T11,24880,-796
2026-08-24T12,21900,0
2026-08-24T13,47780,-796
2026-08-24T14,16920,0
2026-08-24T15,21900,0
2026-08-24T18,15940,-996
2026-08-24T19,7960,0
2026-08-24T20,7960,0
2026-08-24T21,6980,0
2026-08-24T22,29860,-796
2026-08-24T23,26880,-796
2026-08-25T00,17920,0
2026-08-25T01,20900,-1791
2026-08-25T02,33860,-996
2026-08-25T03,23900,-1992
2026-08-25T04,12940,0
2026-08-25T05,7960,0
2026-08-25T06,14730,0
2026-08-25T07,25880,0
2026-08-25T08,31840,-2388
2026-08-25T09,45800,-1592
2026-08-25T10,31860,0
2026-08-25T11,44780,-796
2026-08-25T12,44800,-2788
2026-08-25T13,28860,0
2026-08-25T14,9960,0
2026-08-25T15,19900,0
2026-08-25T17,3980,0
2026-08-25T19,3980,0
2026-08-25T20,4980,0
2026-08-25T21,10960,0
2026-08-25T22,15920,-796
2026-08-25T23,46780,-796
2026-08-26T00,39820,-2587
2026-08-26T01,33840,0
2026-08-26T02,31860,0
2026-08-26T03,26880,0
2026-08-26T04,34860,0
2026-08-26T05,19940,-1396
2026-08-26T06,11940,0
2026-08-26T07,17940,0
2026-08-26T08,23920,-996
2026-08-26T09,15920,-796
2026-08-26T10,32840,0
2026-08-26T11,47570,-4629
2026-08-26T12,37820,-796
2026-08-26T13,49780,-2388
2026-08-26T14,26880,-796
2026-08-26T15,11940,0
2026-08-26T16,13960,0
2026-08-26T19,4980,0
2026-08-26T20,11940,0
2026-08-26T21,20900,0
2026-08-26T22,38820,-796
2026-08-26T23,40820,-796
2026-08-27T00,28880,0
2026-08-27T01,40840,-996
2026-08-27T02,41820,-796
2026-08-27T03,42800,-1792
2026-08-27T04,50800,-2988
2026-08-27T05,21900,0
2026-08-27T06,19900,-796
2026-08-27T07,19900,0
2026-08-27T08,45800,-996
2026-08-27T09,27860,-796
2026-08-27T10,11940,0
2026-08-27T11,63720,-2788
2026-08-27T12,37840,-1992
2026-08-27T13,29860,0
2026-08-27T14,42800,-796
2026-08-27T15,7960,0
2026-08-27T16,10960,0
2026-08-27T17,9960,0
2026-08-27T18,6980,0
2026-08-27T20,7960,-796
2026-08-27T21,4980,0
2026-08-27T22,18920,0
2026-08-27T23,43820,0
2026-08-28T00,22690,0
2026-08-28T01,23880,-1791
2026-08-28T02,12960,0
2026-08-28T03,16920,0
2026-08-28T04,19900,-796
2026-08-28T05,15920,-796
2026-08-28T06,3980,0
2026-08-28T07,19900,-796
2026-08-28T08,26900,-996
2026-08-28T09,12940,0
2026-08-28T10,22900,0
2026-08-28T11,35820,-796
2026-08-28T12,29880,0
2026-08-28T13,47800,-1592
2026-08-28T14,7960,0
2026-08-28T16,9960,0
2026-08-28T18,17940,0
2026-08-28T20,6980,0
2026-08-28T21,26880,0
2026-08-28T22,33840,-796
2026-08-28T23,21900,0
2026-08-29T00,47760,-1592
2026-08-29T01,63700,-3383
2026-08-29T02,36820,-1592
2026-08-29T03,55720,-5174
2026-08-29T04,54760,0
2026-08-29T05,20920,-1196
2026-08-29T06,11940,-796
2026-08-29T07,12940,0
2026-08-29T08,21900,0
2026-08-29T09,10960,0
2026-08-29T10,19900,0
2026-08-29T11,45800,-796
2026-08-29T12,31840,-796
2026-08-29T13,31860,0
2026-08-29T14,14940,0
2026-08-29T15,3980,0
2026-08-29T16,15920,-1592
2026-08-29T19,4980,0
2026-08-29T21,9960,0
2026-08-29T22,40800,-1791
2026-08-29T23,51760,0
2026-08-30T00,59760,-1196
2026-08-30T01,21920,-1396
2026-08-30T02,53760,-1592
2026-08-30T03,23900,0
2026-08-30T04,35650,-796
2026-08-30T05,15940,0
2026-08-30T06,29880,-996
2026-08-30T07,15920,-796
2026-08-30T08,11940,0
2026-08-30T09,31860,0
2026-08-30T10,28880,-996
2026-08-30T11,37840,0
2026-08-30T12,58740,-796
2026-08-30T13,31860,0
2026-08-30T14,21900,-796
2026-08-30T15,19920,0
2026-08-30T18,3980,0
2026-08-30T19,3980,0
2026-08-30T20,7960,0
2026-08-30T21,7960,0
2026-08-30T22,7960,0
2026-08-30T23,3980,0
2026-08-31T00,44820,0
2026-08-31T01,15920,0
2026-08-31T02,13940,0
2026-08-31T03,3980,0
2026-08-31T04,28860,-796
2026-08-31T05,33860,-996
