month,product,gross_sales
2026-01,保温プレート,881020
2026-01,優先配送,1072
2026-02,保温プレート,530410
2026-02,優先配送,1072
2026-03,保温プレート,1357490
2026-03,ナノバブルシャワーヘッド,1276800
2026-03,壁掛けディスペンサー,415760
2026-03,ポータブルミキサー,119660
2026-03,(商品名なし),27920
2026-03,ネックマッサージャー,9980
2026-03,オートソープディスペンサー,7980
2026-03,優先配送,2144
2026-04,形状記憶日傘,3306720
2026-04,ナノバブルシャワーヘッド,1133160
2026-04,健康サンダル,1045800
2026-04,保温プレート,988900
2026-04,壁掛けディスペンサー,904260
2026-04,バランスケアスリッパ,881460
2026-04,UV歯ブラシ除菌器,628600
2026-04,姿勢サポートチェア,486780
2026-04,(商品名なし),294220
2026-04,ネックマッサージャー,29940
2026-04,癒しの指圧マット,29900
2026-04,完全遮光フリル日傘,29900
2026-04,優先配送,21440
2026-04,瞬間冷却ハンディファン,11960
2026-04,ポータブルミキサー,6980
2026-05,形状記憶日傘,9556620
2026-05,ナノガラス脱毛パッド,2961120
2026-05,完全遮光・形状記憶,2186220
2026-05,UV歯ブラシ除菌器,1840900
2026-05,健康サンダル,1254960
2026-05,バランスケアスリッパ,1245000
2026-05,接触冷感UVパーカー,1217880
2026-05,4WAY,831660
2026-05,保温プレート,782130
2026-05,壁掛けディスペンサー,711880
2026-05,ナノバブルシャワーヘッド,598500
2026-05,姿勢サポートチェア,510720
2026-05,瞬間冷却ハンディファン,478400
2026-05,3WAYサーキュレーター,394680
2026-05,リカバリーサンダル,131340
2026-05,偏光・調光サングラス,95520
2026-05,完全遮光フリル日傘,59800
2026-05,優先配送,48776
2026-05,ポータブルミキサー,44820
2026-05,ネックマッサージャー,29940
2026-05,癒しの指圧マット,11960
2026-05,オートソープディスペンサー,7980
2026-05,スタイルアップインナー,7960
2026-05,姿勢サポートベルト,5980
2026-05,ジェットウォッシャー,4980
2026-06,ナノガラス脱毛パッド,6172980
2026-06,形状記憶日傘,5946120
2026-06,4WAY,5806680
2026-06,害虫ブロッカー,4927240
2026-06,接触冷感UVパーカー,2547200
2026-06,完全遮光・形状記憶,2370480
2026-06,偏光・調光サングラス,1468620
2026-06,壁掛けディスペンサー,1313120
2026-06,3WAYサーキュレーター,1076400
2026-06,UV歯ブラシ除菌器,1023720
2026-06,健康サンダル,871500
2026-06,バランスケアスリッパ,856560
2026-06,保温プレート,368590
2026-06,湯上がりガーゼワンピース,333660
2026-06,携帯電動シェーバー,298800
2026-06,ナノバブルシャワーヘッド,262280
2026-06,接触冷感UVアームカバー,147260
2026-06,瞬間冷却ハンディファン,89700
2026-06,優先配送,73432
2026-06,完全遮光・接触冷感UVハット,41860
2026-06,リカバリーサンダル,31840
2026-06,スマートノーズEMS美顔器,29900
2026-06,スタイルアップインナー,11940
2026-06,姿勢サポートベルト,5980
2026-06,ジェットウォッシャー,4980
2026-07,4WAY,7146300
2026-07,害虫ブロッカー,7072460
2026-07,形状記憶日傘,5612460
2026-07,ナノガラス脱毛パッド,4521280
2026-07,接触冷感UVパーカー,2594960
2026-07,完全遮光・形状記憶,2574660
2026-07,偏光・調光サングラス,1584040
2026-07,卓上冷感クーラー,1554800
2026-07,接触冷感UVアームカバー,1170120
2026-07,3WAYサーキュレーター,1076400
2026-07,UV歯ブラシ除菌器,889020
2026-07,健康サンダル,856560
2026-07,携帯電動シェーバー,841620
2026-07,ムダ毛シェーバー,813400
2026-07,壁掛けディスペンサー,796620
2026-07,5WAY腰掛けファン,791820
2026-07,瞬間冷感ポンチョ,620880
2026-07,湯上がりガーゼワンピース,584720
2026-07,バランスケアスリッパ,498000
2026-07,優先配送,129176
2026-07,瞬間冷却ハンディファン,113620
2026-07,完全遮光・接触冷感UVハット,52820
2026-07,ナノバブルシャワーヘッド,34900
2026-07,リカバリーサンダル,27860
2026-07,ネックマッサージャー,9980
2026-07,癒しの指圧マット,5980
2026-08,ナノガラス脱毛パッド,2670580
2026-08,4WAY,1269900
2026-08,害虫ブロッカー,1253700
2026-08,形状記憶日傘,1070700
2026-08,W固定スマホ車載ホルダー,971120
2026-08,接触冷感UVパーカー,934360
2026-08,ムダ毛シェーバー,718940
2026-08,完全遮光・形状記憶,692220
2026-08,5WAY腰掛けファン,542820
2026-08,偏光・調光サングラス,473620
2026-08,2WAYシートボックス,353580
2026-08,卓上冷感クーラー,346840
2026-08,完全遮光・接触冷感UVハット,338640
2026-08,姿勢サポートチェア,271100
2026-08,接触冷感UVアームカバー,242780
2026-08,携帯電動シェーバー,189240
2026-08,3WAYサーキュレーター,175460
2026-08,瞬間冷感ポンチョ,175120
2026-08,バランスケアスリッパ,129480
2026-08,快適マジックインソール,103480
2026-08,健康サンダル,94620
2026-08,UV歯ブラシ除菌器,53880
2026-08,優先配送,42880
2026-08,壁掛けディスペンサー,32900
2026-08,湯上がりガーゼワンピース,17940
2026-08,ナノバブルシャワーヘッド,13960
2026-08,ジェットウォッシャー,9960
2026-08,リカバリーサンダル,7960
2026-08,スマートノーズEMS美顔器,5980
2026-08,瞬間冷却ハンディファン,5980
